sample_idx,timestamp_ms,fps_instant,target_fps,vsync,shader,cobblemon,player_pos,render_distance,refresh_hz,window_size,render_engine
1,2026-05-13T10:07:30,116,inf,off,beryl-on,no,"35.5,66.0,31.9",8,unlocked,1280x720,VulkanMod-0.6.5
2,2026-05-13T10:07:34,114,inf,off,beryl-on,no,"35.5,66.0,31.9",8,unlocked,1280x720,VulkanMod-0.6.5
3,2026-05-13T10:07:38,118,inf,off,beryl-on,no,"35.5,66.0,31.9",8,unlocked,1280x720,VulkanMod-0.6.5
4,2026-05-13T10:07:42,108,inf,off,beryl-on,no,"35.5,66.0,31.9",8,unlocked,1280x720,VulkanMod-0.6.5
5,2026-05-13T10:07:46,120,inf,off,beryl-on,no,"35.5,66.0,31.9",8,unlocked,1280x720,VulkanMod-0.6.5
average,,115.2,,,,,,,,,
1pct_low,,108,,,,,,,,,
